epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91286,1.31364,2.99139,1.37151,0.00333,1,0.995,0.8404,0.49211,3.16468,1.04173,0,0,0
2,3.83438,1.60928,2.98632,1.78781,0.00333,1,0.995,0.83993,0.48609,3.16384,1.04028,1.9604e-05,1.9604e-05,1.9604e-05
3,5.63977,1.10286,2.8516,1.34555,0.00333,1,0.995,0.83798,0.46771,3.16351,1.03468,3.8416e-05,3.8416e-05,3.8416e-05
4,7.54919,0.9073,2.89955,1.36546,0.00333,1,0.9575,0.78247,0.46665,3.164,1.02582,5.6436e-05,5.6436e-05,5.6436e-05
5,9.32698,0.84438,2.66565,1.17941,0.00333,1,0.97833,0.80438,0.50133,3.15743,1.03787,7.3664e-05,7.3664e-05,7.3664e-05
6,11.1336,0.80424,2.6147,1.17174,0.00333,1,0.995,0.7767,0.5478,3.16292,1.05293,9.01e-05,9.01e-05,9.01e-05
7,13.0014,0.70492,2.57581,1.06961,0.00333,1,0.995,0.768,0.60664,3.16902,1.07951,0.000105744,0.000105744,0.000105744
8,14.8213,0.70795,2.36421,1.06793,0.00333,1,0.97192,0.70126,0.6439,3.17744,1.09104,0.000120596,0.000120596,0.000120596
9,16.6457,0.69401,2.43775,1.00218,0.00333,1,0.87962,0.63719,0.67117,3.19398,1.09098,0.000134656,0.000134656,0.000134656
10,18.5551,0.69909,2.36593,1.09124,0.00333,1,0.88827,0.58828,0.71824,3.18493,1.11075,0.000147924,0.000147924,0.000147924
11,20.4101,0.70461,2.22109,1.07587,0.00333,1,0.86295,0.57269,0.71962,3.18084,1.10402,0.0001604,0.0001604,0.0001604
12,22.2458,0.79383,2.23721,1.16507,0.00333,1,0.995,0.68348,0.71301,3.16946,1.10728,0.000172084,0.000172084,0.000172084
13,24.1695,0.68567,2.04903,1.07144,0.00333,1,0.96773,0.67925,0.73337,3.18761,1.11139,0.000182976,0.000182976,0.000182976
14,26.0387,0.68971,2.03019,1.07353,0.00333,1,0.97833,0.69747,0.70333,3.17831,1.10982,0.000193076,0.000193076,0.000193076
15,28.3189,0.88234,2.16817,1.25316,0.00333,1,0.98591,0.79064,0.6199,3.1405,1.06994,0.000202384,0.000202384,0.000202384
16,30.4211,0.84035,2.05338,1.0787,0.00333,1,0.98591,0.79796,0.59082,3.14233,1.06057,0.0002109,0.0002109,0.0002109
17,32.5284,0.69412,1.81288,0.98702,0.00333,1,0.995,0.83656,0.52843,3.13948,1.03908,0.000218624,0.000218624,0.000218624
18,34.526,0.69212,1.783,1.03115,0.00333,1,0.995,0.83656,0.52843,3.13948,1.03908,0.000225556,0.000225556,0.000225556
19,36.5918,0.75242,1.73506,1.05002,0.00333,1,0.94833,0.82548,0.47472,3.10004,1.01274,0.000231696,0.000231696,0.000231696
20,38.5118,0.60632,1.57506,0.98487,0.00333,1,0.94833,0.82548,0.47472,3.10004,1.01274,0.000237044,0.000237044,0.000237044
21,40.3983,1.06002,1.83814,1.35324,0.00333,1,0.93944,0.7916,0.45899,3.09385,1.01445,0.0002416,0.0002416,0.0002416
22,42.3517,0.69834,1.77532,1.13511,0.00333,1,0.93944,0.7916,0.45899,3.09385,1.01445,0.000245364,0.000245364,0.000245364
23,44.2731,0.70148,1.55552,1.06703,0.00333,1,0.93136,0.8121,0.47975,3.08169,1.03433,0.000248336,0.000248336,0.000248336
24,46.184,0.73585,1.47163,1.07809,0.00333,1,0.93136,0.8121,0.47975,3.08169,1.03433,0.000250516,0.000250516,0.000250516
25,48.128,0.69597,1.64812,1.13081,0.00333,1,0.91722,0.75555,0.51843,3.09837,1.05629,0.000251904,0.000251904,0.000251904
26,50.0623,0.73759,1.387,1.01978,0.00333,1,0.91722,0.75555,0.51843,3.09837,1.05629,0.0002525,0.0002525,0.0002525
27,51.9889,0.63879,1.42281,0.94437,0.00333,1,0.945,0.80146,0.50826,3.07213,1.03787,0.000252304,0.000252304,0.000252304
28,53.7574,0.59545,1.25951,1.04513,0.00333,1,0.945,0.80146,0.50826,3.07213,1.03787,0.000251316,0.000251316,0.000251316
29,55.6011,0.69041,1.55,1.13467,0.00333,1,0.995,0.84201,0.46241,2.99988,0.9912,0.000249536,0.000249536,0.000249536
30,57.746,0.69203,1.32161,1.02347,0.00333,1,0.995,0.84201,0.46241,2.99988,0.9912,0.000246964,0.000246964,0.000246964
31,59.6474,0.71833,1.29964,1.08964,0.00333,1,0.995,0.85541,0.46029,2.9668,0.97534,0.0002436,0.0002436,0.0002436
32,61.4068,0.62503,1.21465,1.07124,0.00333,1,0.995,0.85541,0.46029,2.9668,0.97534,0.000239444,0.000239444,0.000239444
33,63.1474,0.66753,1.21214,1.00443,0.00333,1,0.995,0.84953,0.43708,2.90019,0.956,0.000234496,0.000234496,0.000234496
34,64.8836,0.67533,1.1996,1.08686,0.00333,1,0.995,0.84953,0.43708,2.90019,0.956,0.000228756,0.000228756,0.000228756
35,66.5982,0.60904,1.17848,0.95696,0.00333,1,0.995,0.85396,0.43473,2.86778,0.95699,0.000222224,0.000222224,0.000222224
36,68.3427,0.80134,1.36306,1.09904,0.00333,1,0.995,0.85396,0.43473,2.86778,0.95699,0.0002149,0.0002149,0.0002149
37,70.0453,0.62475,1.14053,1.03575,0.1301,1,0.995,0.83943,0.47204,2.82283,0.97105,0.000206784,0.000206784,0.000206784
38,71.8256,0.764,1.17623,1.06927,0.1301,1,0.995,0.83943,0.47204,2.82283,0.97105,0.000197876,0.000197876,0.000197876
39,73.6772,0.63739,1.22213,1.03288,0.93752,1,0.995,0.8281,0.5071,2.79584,0.99221,0.000188176,0.000188176,0.000188176
40,75.3257,0.74211,1.29268,1.06554,0.93752,1,0.995,0.8281,0.5071,2.79584,0.99221,0.000177684,0.000177684,0.000177684
41,77.0613,0.66017,1.7519,1.17377,0.94688,1,0.995,0.82769,0.52519,2.80637,1.01361,0.0001664,0.0001664,0.0001664
42,78.8099,0.52119,1.76368,0.96108,0.94688,1,0.995,0.82769,0.52519,2.80637,1.01361,0.000154324,0.000154324,0.000154324
